Time - Plot 0	Amplitude - Plot 0
0	76
1	92
2	73
3	88
4	75
5	81
6	95
7	89
8	83
9	94
10	77
11	80
12	82
13	62
14	86
15	103
16	73
17	73
18	99
19	96
20	104
21	87
22	76
23	90
24	87
25	74
26	94
27	66
28	92
29	78
30	83
31	64
32	77
33	96
34	78
35	98
36	85
37	102
38	78
39	75
40	58
41	83
42	80
43	86
44	85
45	95
46	77
47	90
48	77
49	88
50	85
51	85
52	97
53	76
54	83
55	76
56	81
57	61
58	97
59	82
60	94
61	98
62	78
63	77
64	88
65	86
66	77
67	78
68	95
69	73
70	90
71	87
72	84
73	85
74	91
75	77
76	87
77	87
78	70
79	67
80	82
81	77
82	86
83	65
84	77
85	92
86	97
87	69
88	81
89	88
90	75
91	83
92	67
93	92
94	83
95	78
96	76
97	66
98	82
99	79
100	88
101	71
102	85
103	90
104	85
105	66
106	85
107	92
108	81
109	103
110	78
111	104
112	67
113	77
114	84
115	79
116	89
117	86
118	87
119	96
120	87
121	66
122	82
123	95
124	96
125	87
126	85
127	91
128	76
129	74
130	83
131	80
132	99
133	83
134	89
135	75
136	76
137	82
138	89
139	76
140	97
141	88
142	83
143	86
144	88
145	85
146	99
147	81
148	80
149	78
150	76
151	80
152	88
153	82
154	80
155	75
156	78
157	102
158	86
159	77
160	70
161	91
162	87
163	76
164	73
165	88
166	68
167	87
168	93
169	89
170	83
171	82
172	82
173	74
174	82
175	83
176	83
177	82
178	85
179	91
180	65
181	88
182	79
183	78
184	80
185	90
186	84
187	95
188	86
189	79
190	74
191	79
192	81
193	83
194	82
195	72
196	93
197	71
198	83
199	80
200	74
201	80
202	78
203	67
204	101
205	76
206	88
207	72
208	89
209	81
210	87
211	89
212	82
213	92
214	90
215	73
216	80
217	84
218	85
219	89
220	93
221	100
222	102
223	99
224	79
225	76
226	65
227	86
228	86
229	88
230	82
231	79
232	84
233	83
234	96
235	96
236	72
237	80
238	93
239	88
240	83
241	85
242	96
243	78
244	90
245	77
246	87
247	79
248	85
249	77
250	82
251	76
252	90
253	84
254	84
255	108
256	73
257	98
258	67
259	85
260	85
261	85
262	74
263	81
264	80
265	83
266	82
267	83
268	94
269	91
270	102
271	83
272	81
273	92
274	72
275	74
276	86
277	81
278	82
279	82
280	88
281	86
282	90
283	91
284	86
285	85
286	71
287	92
288	76
289	88
290	78
291	78
292	105
293	85
294	77
295	78
296	79
297	70
298	92
299	84
300	90
301	89
302	84
303	95
304	80
305	75
306	90
307	80
308	85
309	79
310	79
311	69
312	77
313	69
314	79
315	85
316	99
317	87
318	85
319	73
320	81
321	67
322	94
323	81
324	78
325	84
326	71
327	89
328	87
329	75
330	91
331	86
332	91
333	80
334	81
335	87
336	85
337	86
338	85
339	74
340	91
341	86
342	83
343	76
344	83
345	92
346	72
347	90
348	83
349	90
350	73
351	76
352	65
353	83
354	84
355	79
356	81
357	85
358	81
359	89
360	95
361	78
362	90
363	73
364	101
365	73
366	87
367	76
368	82
369	84
370	80
371	86
372	81
373	68
374	85
375	71
376	89
377	87
378	74
379	87
380	97
381	83
382	95
383	91
384	85
385	82
386	77
387	81
388	81
389	98
390	87
391	88
392	93
393	94
394	90
395	90
396	80
397	96
398	80
399	95
400	96
401	100
402	83
403	85
404	91
405	88
406	81
407	82
408	80
409	81
410	102
411	79
412	80
413	83
414	103
415	80
416	80
417	86
418	88
419	94
420	91
421	79
422	98
423	88
424	92
425	66
426	64
427	85
428	75
429	85
430	96
431	75
432	71
433	74
434	77
435	85
436	76
437	87
438	80
439	75
440	65
441	90
442	80
443	96
444	76
445	75
446	78
447	79
448	82
449	89
450	78
451	80
452	93
453	79
454	86
455	89
456	86
457	73
458	62
459	89
460	92
461	81
462	92
463	69
464	88
465	72
466	76
467	95
468	84
469	79
470	85
471	79
472	72
473	91
474	79
475	83
476	96
477	90
478	89
479	85
480	80
481	72
482	94
483	93
484	74
485	80
486	81
487	76
488	79
489	112
490	90
491	78
492	71
493	96
494	94
495	84
496	92
497	87
498	94
499	69
500	62
501	79
502	76
503	77
504	84
505	94
506	93
507	78
508	90
509	79
510	86
511	60
512	99
513	106
514	85
515	89
516	84
517	93
518	77
519	77
520	87
521	83
522	94
523	82
524	74
525	84
526	82
527	75
528	89
529	99
530	80
531	72
532	97
533	83
534	85
535	78
536	55
537	65
538	77
539	72
540	82
541	95
542	95
543	76
544	74
545	67
546	98
547	79
548	76
549	95
550	87
551	78
552	88
553	72
554	82
555	100
556	95
557	91
558	97
559	87
560	69
561	77
562	77
563	97
564	86
565	64
566	93
567	72
568	69
569	81
570	89
571	80
572	74
573	85
574	83
575	80
576	86
577	74
578	78
579	88
580	75
581	70
582	82
583	84
584	82
585	79
586	80
587	95
588	94
589	108
590	91
591	72
592	90
593	103
594	89
595	83
596	79
597	83
598	72
599	97
600	80
601	80
602	87
603	90
604	103
605	86
606	78
607	81
608	75
609	78
610	88
611	89
612	87
613	72
614	86
615	91
616	89
617	74
618	89
619	69
620	65
621	94
622	76
623	80
624	85
625	91
626	78
627	70
628	87
629	88
630	81
631	94
632	92
633	64
634	80
635	78
636	92
637	95
638	104
639	92
640	99
641	85
642	76
643	91
644	80
645	85
646	83
647	77
648	83
649	73
650	99
651	89
652	96
653	80
654	115
655	126
656	111
657	147
658	128
659	142
660	122
661	124
662	99
663	93
664	73
665	72
666	71
667	91
668	73
669	89
670	96
671	79
672	74
673	67
674	84
675	70
676	83
677	69
678	79
679	76
680	86
681	83
682	74
683	86
684	79
685	86
686	85
687	93
688	110
689	102
690	88
691	95
692	92
693	86
694	83
695	73
696	79
697	75
698	78
699	77
700	67
701	72
702	81
703	92
704	72
705	90
706	86
707	81
708	81
709	72
710	83
711	71
712	71
713	84
714	68
715	78
716	91
717	72
718	74
719	80
720	63
721	78
722	87
723	63
724	100
725	77
726	91
727	75
728	76
729	84
730	80
731	85
732	66
733	84
734	80
735	77
736	92
737	71
738	80
739	83
740	82
741	83
742	73
743	100
744	75
745	75
746	87
747	71
748	92
749	76
750	78
751	100
752	73
753	63
754	85
755	72
756	91
757	87
758	83
759	71
760	76
761	82
762	78
763	64
764	78
765	91
766	86
767	80
768	84
769	90
770	86
771	80
772	68
773	86
774	75
775	83
776	87
777	99
778	97
779	79
780	70
781	85
782	79
783	94
784	82
785	72
786	86
787	74
788	66
789	75
790	80
791	80
792	80
793	76
794	77
795	86
796	80
797	87
798	82
799	84
800	82
801	79
802	80
803	71
804	93
805	76
806	79
807	96
808	78
809	81
810	77
811	70
812	79
813	85
814	99
815	77
816	87
817	95
818	78
819	90
820	72
821	82
822	83
823	70
824	84
825	79
826	83
827	63
828	82
829	61
830	65
831	82
832	77
833	66
834	75
835	75
836	81
837	76
838	82
839	72
840	86
841	92
842	72
843	83
844	84
845	82
846	81
847	80
848	80
849	85
850	83
851	70
852	99
853	81
854	76
855	82
856	79
857	99
858	84
859	81
860	91
861	73
862	76
863	82
864	97
865	81
866	81
867	98
868	90
869	86
870	94
871	77
872	85
873	98
874	116
875	116
876	114
877	145
878	150
879	180
880	239
881	319
882	381
883	529
884	740
885	1094
886	1715
887	3060
888	6382
889	12456
890	20922
891	28130
892	27462
893	18553
894	8506
895	2881
896	814
897	228
898	120
899	88
900	96
901	85
902	80
903	86
904	92
905	79
906	91
907	94
908	71
909	94
910	80
911	83
912	88
913	79
914	81
915	84
916	94
917	78
918	76
919	95
920	89
921	87
922	80
923	92
924	77
925	83
926	94
927	89
928	81
929	81
930	83
931	80
932	91
933	95
934	78
935	87
936	86
937	76
938	90
939	78
940	104
941	83
942	83
943	94
944	87
945	85
946	65
947	95
948	78
949	76
950	77
951	77
952	78
953	79
954	75
955	90
956	82
957	82
958	89
959	78
960	93
961	106
962	82
963	72
964	93
965	97
966	86
967	83
968	86
969	85
970	92
971	89
972	87
973	87
974	74
975	90
976	75
977	101
978	90
979	84
980	91
981	80
982	91
983	80
984	100
985	74
986	74
987	92
988	87
989	76
990	84
991	62
992	98
993	84
994	88
995	80
996	79
997	75
998	80
999	71
